ACO_Num,year,ACO_Name,ACO_State,Adv_Pay,N_AB,Sav_rate,MinSavPerc,BnchmkMinExp,GenSaveLoss,EarnSaveLoss,QualScore,UpdatedBnchmk,HistBnchmk,ABtotBnchmk,ABtotExp,Adv_Pay_Amt,Adv_Pay_Recoup,QualPerfShare,FinalShareRate,Per_Capita_Exp_ALL_ESRD_BY1,Per_Capita_Exp_ALL_DIS_BY1,Per_Capita_Exp_ALL_AGDU_BY1,Per_Capita_Exp_ALL_AGND_BY1,Per_Capita_Exp_ALL_ESRD_BY2,Per_Capita_Exp_ALL_DIS_BY2,Per_Capita_Exp_ALL_AGDU_BY2,Per_Capita_Exp_ALL_AGND_BY2,Per_Capita_Exp_ALL_ESRD_BY3,Per_Capita_Exp_ALL_DIS_BY3,Per_Capita_Exp_ALL_AGDU_BY3,Per_Capita_Exp_ALL_AGND_BY3,Per_Capita_Exp_ALL_ESRD_PY,Per_Capita_Exp_ALL_DIS_PY,Per_Capita_Exp_ALL_AGDU_PY,Per_Capita_Exp_ALL_AGND_PY,Per_Capita_Exp_TOTAL_PY,CMS_HCC_RiskScore_ESRD_BY1,CMS_HCC_RiskScore_DIS_BY1,CMS_HCC_RiskScore_AGDU_BY1,CMS_HCC_RiskScore_AGND_BY1,CMS_HCC_RiskScore_ESRD_BY2,CMS_HCC_RiskScore_DIS_BY2,CMS_HCC_RiskScore_AGDU_BY2,CMS_HCC_RiskScore_AGND_BY2,CMS_HCC_RiskScore_ESRD_BY3,CMS_HCC_RiskScore_DIS_BY3,CMS_HCC_RiskScore_AGDU_BY3,CMS_HCC_RiskScore_AGND_BY3,CMS_HCC_RiskScore_ESRD_PY,CMS_HCC_RiskScore_DIS_PY,CMS_HCC_RiskScore_AGDU_PY,CMS_HCC_RiskScore_AGND_PY,N_AB_Year_ESRD_BY3,N_AB_Year_DIS_BY3,N_AB_Year_AGED_Dual_BY3,N_AB_Year_AGED_NonDual_BY3,N_AB_Year_PY,N_AB_Year_ESRD_PY,N_AB_Year_DIS_PY,N_AB_Year_AGED_Dual_PY,N_AB_Year_AGED_NonDual_PY,N_Ben_Age_0_64,N_Ben_Age_65_74,N_Ben_Age_75_84,N_Ben_Age_85plus,N_Ben_Female,N_Ben_Male,N_Ben_Race_White,N_Ben_Race_Black,N_Ben_Race_Asian,N_Ben_Race_Hisp,N_Ben_Race_Native,N_Ben_Race_Other,CapAnn_INP_All,CapAnn_INP_S_trm,CapAnn_INP_L_trm,CapAnn_INP_Rehab,CapAnn_INP_Psych,CapAnn_HSP,CapAnn_SNF,CapAnn_INP_Other,CapAnn_OPD,CapAnn_PB,CapAnn_AmbPay,CapAnn_HHA,CapAnn_DME,ADM,ADM_S_Trm,ADM_L_Trm,ADM_Rehab,ADM_Psych,chf_adm,copd_adm,pneu_adm,readm_Rate_1000,prov_Rate_1000,P_SNF_ADM,P_EDV_Vis,P_EDV_Vis_HOSP,P_CT_VIS,P_MRI_VIS,P_EM_Total,P_EM_PCP_Vis,P_EM_SP_Vis,P_Nurse_Vis,P_FQHC_RHC_Vis,N_CAH,N_FQHC,N_RHC,N_ETA,N_Fac_Other,N_PCP,N_Spec,N_NP,N_PA,N_CNS,Start_Date,Track1,Track2
A71489,2015,Barnabas Health Care Network,New Jersey,0,12697,-0.0023,0.0284,-340797,0,0,95.24,12180,13684,150088522,150429319,,,50,47.62,90401,11004,13604,10891,92087,11524,15290,10271,90050,11593,15879,10824,88197,13132,14210,10042,12208,1.14,1.457,1.173,1.204,1.154,1.424,1.197,1.184,1.16,1.362,1.215,1.198,1.108,1.318,1.092,1.092,159,1093,672,3924,12322,236,1534,849,9704,2073,5500,3421,1703,7450,5247,8990,2744,*,352,*,430,3778,3341,168,285,82,195,1158,0,2584,4170,130,361,348,322,298,3,14,7,16,12,7,203,773,80,635,236,783,377,10835,3805,6505,521,4,0,0,0,0,9,75,469,110,3,0,7/1/12,1,0
A78144,2015,"Coastal Medical, Inc.","Massachusetts, Rhode Island",1,10821,0.0952,0.0295,9657190,9657190,4732023,100,9566,9571,101424702,91767512,0,0,50,50,81228,9257,11488,8226,84362,9294,13035,8852,78269,10396,12837,8991,65103,9178,10192,8295,8655,1.038,1.207,1.022,1.083,1.063,1.159,1.008,1.081,1.029,1.129,1.006,1.091,1.008,1.104,1.024,1.053,45,1052,269,7773,10602,38,1137,337,9090,1455,5059,2865,1442,6503,4318,10025,282,39,106,13,356,2466,2185,12,162,121,141,591,0,1698,3028,133,606,175,251,230,0,7,14,9,9,5,144,823,56,538,185,747,264,9846,4105,4781,954,6,0,0,0,0,0,62,26,36,0,0,7/1/12,1,0
A64316,2015,The Polyclinic,Washington,0,8481,-0.0441,0.0315,-2871022,0,0,98.44,7862,7951,65073370,67944392,,,50,49.22,80425,8509,11216,6223,72705,8454,8783,7001,66907,7210,8586,6925,67324,9861,8777,7477,8209,0.937,1.191,1.037,0.933,0.943,1.141,1.025,0.924,0.94,1.137,0.92,0.918,0.93,1.159,0.973,0.901,102,575,208,6251,8277,78,482,185,7532,830,4317,2235,1099,4573,3908,7297,374,287,12,19,492,2317,2221,24,50,43,134,413,0,1676,3245,67,333,195,201,195,0,2,3,7,3,3,142,767,37,410,119,553,320,8995,3058,4796,1133,8,0,0,0,0,0,84,237,20,1,1,7/1/12,1,0
A95753,2015,Independent Physicians' ACO of Chicago LLC,Illinois,0,15044,-0.0124,0.027,-2754024,0,0,91.39,15247,15130,222010772,224764797,,,50,45.7,105116,12577,17430,14942,104783,13089,16689,14576,93005,12590,16116,13841,98575,12526,15882,14554,15436,1.096,1.267,1.064,1.263,1.113,1.253,1.068,1.24,1.087,1.251,1.064,1.227,1.023,1.172,1.031,1.212,187,2524,2239,11345,14561,176,1987,1562,10837,2469,5815,4198,2562,8366,6678,11243,1026,1207,568,13,987,5066,4362,366,320,137,304,2861,0,2145,4136,205,1370,212,511,469,10,18,15,20,17,11,218,818,222,822,388,881,301,13184,6494,5014,1658,19,0,0,0,0,0,97,127,14,0,0,1/1/13,1,0
A09762,2015,University Hospitals Coordinated Care Organization,Ohio,0,55282,0.0226,0.0209,12557489,12557489,5584001,90.75,10391,10144,556217764,543660274,,,50,45.38,69608,9737,13801,8706,73119,10260,13156,9306,73506,9909,11926,9286,67238,10319,12871,9378,10157,1.069,1.245,1.152,1.089,1.035,1.239,1.136,1.113,1.069,1.233,1.105,1.106,1.01,1.16,1.119,1.101,408,6820,2153,38094,53528,520,6607,1534,44867,8854,23672,14840,7916,31928,23354,47613,5968,253,100,11,1337,3212,2838,124,164,110,335,1081,7,2304,2713,148,473,223,362,334,4,10,14,17,13,10,187,799,107,753,232,843,261,9377,3915,4361,1098,4,0,0,0,0,119,389,1240,209,1,10,7/1/12,1,0
A31344,2015,Greater Baltimore Health Alliance,"Maryland, Pennsylvania",0,13195,-0.0164,0.0281,-2416618,0,0,93,11564,11660,147751316,150167934,,,50,46.5,84738,11052,13781,10046,89543,10994,15082,10419,84425,11838,16360,11119,82036,12169,15765,11025,11753,1.038,1.101,1.03,1.061,1.04,1.095,1.061,1.038,1.036,1.09,1.163,1.04,0.968,1.099,1.044,0.999,70,1056,348,9083,12777,81,1234,451,11012,1713,6157,3414,1911,7421,5774,10717,1988,100,*,*,361,4153,4087,0,19,49,328,769,0,2771,3399,60,436,201,286,281,0,1,4,10,7,7,154,777,70,611,222,696,269,9489,3253,4731,1503,3,0,0,0,0,2,143,246,56,4,0,7/1/12,1,0
A10764,2015,Collaborative Health ACO,Massachusetts,0,8746,0.088,0.0313,11354083,11354083,5537422,99.53,15327,14764,128967186,117613102,,,50,49.77,137789,10978,15318,14021,130994,11646,18307,14853,129011,12050,16918,14256,100919,13137,16948,13124,13977,1.133,1.221,1.04,1.239,1.154,1.183,1.1,1.242,1.168,1.171,1.143,1.245,1.072,1.242,1.158,1.227,45,1655,613,5784,8415,59,1550,529,6276,1843,3215,2236,1452,4981,3765,7997,216,*,165,*,280,4797,3850,260,349,419,458,1418,0,2867,3581,332,922,211,436,373,9,17,37,17,15,12,201,831,130,976,329,750,360,13974,5522,5629,2818,5,0,0,0,0,7,150,202,51,4,2,1/1/13,1,0
A59256,2015,"Maine Community Accountable Care Organization, LLC",Maine,0,7083,0.034,0.0338,2016828,2016828,926031,93.7,8586,8099,59239874,57223046,,,50,46.85,61580,6682,8697,6375,75080,6970,9389,6518,63912,7065,10195,7710,51970,7444,10720,7500,8294,1.037,0.942,0.899,0.92,0.989,0.934,0.905,0.931,1.027,0.932,0.936,0.938,0.943,0.939,0.941,0.958,21,1982,1672,3058,6899,21,2099,1447,3333,2349,2497,1552,685,3798,3285,6915,33,*,*,19,95,2754,2546,5,150,62,123,534,0,2749,1644,204,289,264,276,261,0,8,7,11,15,12,153,817,59,954,152,471,223,7913,305,2267,741,4600,0,32,0,0,0,66,41,67,0,0,7/1/12,1,0
A13682,2015,"Accountable Care Coalition of Syracuse, LLC",New York,0,20047,-0.0473,0.025,-7068189,0,0,95.91,7639,7278,149586954,156655143,,,50,47.95,74621,6139,7833,6312,56008,6601,8288,6755,67184,6849,9512,7101,69150,8352,8927,7573,7999,0.985,1.012,0.959,1.021,1.02,0.995,0.95,1.007,0.976,0.968,0.972,1.007,1.012,1.003,0.931,0.996,76,1708,405,13871,19583,98,2078,538,16870,2777,7986,6077,3207,11818,8229,18542,729,124,48,37,567,2224,2127,0,73,25,45,537,0,1119,3382,97,483,245,239,232,0,4,3,11,7,8,137,811,54,492,171,776,261,10032,4097,4416,1513,5,0,0,0,0,0,87,45,47,2,0,7/1/12,1,0
A05247,2015,"Essential Care Partners, LLC",Texas,0,14490,0.0071,0.0273,924519,0,0,89.05,9265,8404,129406615,128482096,,,50,44.53,81338,6849,8843,6510,72940,6657,8741,6430,70714,6656,8133,6260,64100,7996,8598,7230,9199,1.031,0.96,0.818,0.883,1.007,0.94,0.834,0.878,0.999,0.94,0.824,0.896,0.957,0.968,0.84,0.938,285,4360,3784,5669,13968,348,4439,3150,6031,5453,5867,2368,802,8107,6383,9681,1305,78,3078,18,330,2922,2277,201,317,134,100,287,23,2410,2325,215,1020,240,295,253,6,18,17,13,10,9,164,712,28,954,183,605,226,7989,304,3119,343,4223,0,143,0,0,0,199,148,103,1,0,7/1/12,1,0
A14573,2015,MaineHealth Accountable Care Organization,"Maine, New Hampshire",0,54456,-0.0322,0.0211,-15387611,0,0,93.59,9038,8538,478586617,493974229,,,50,46.8,73876,7627,10186,7378,71802,7746,10852,7713,74822,7984,10878,7741,73077,9027,12155,8523,9328,1.065,1.041,0.949,0.971,1.083,1.025,0.943,0.979,1.053,1.017,0.968,0.97,1.032,1.004,0.989,0.983,201,8782,6997,32024,52955,237,10061,6140,36518,11702,20887,14506,7361,30813,23643,52810,211,226,57,44,1108,2770,2449,7,248,72,247,583,0,2566,2493,154,486,262,272,251,0,13,7,12,10,8,151,762,64,822,154,565,236,8650,3337,3454,1434,426,4,9,11,0,25,445,1498,384,6,5,7/1/12,1,0
A67273,2015,UnityPoint Health Partners,"Illinois, Iowa, Wisconsin",0,92589,-0.0124,0.02,-10095503,0,0,94.5,9075,8764,813803834,823899337,,,50,47.25,66668,7813,11721,7668,70799,8379,13094,8036,70772,8615,12994,8176,74932,9386,12347,8549,9187,1.025,1.052,1.032,1.01,1.016,1.06,1.028,1.01,1.023,1.059,1.04,1.004,1.017,1.095,1.035,0.99,558,11005,2937,74543,89680,564,11044,2786,75286,14495,40758,24761,12575,52747,39841,87350,3026,355,278,60,1520,2919,2646,74,162,56,234,851,1,2013,2652,105,352,282,319,301,2,9,7,13,8,11,166,786,84,751,206,660,238,8459,2837,3403,1399,821,3,3,25,0,60,664,1033,415,7,1,7/1/12,1,0
A55185,2015,POM ACO,Michigan,0,135455,0.0142,0.02,17678098,0,0,98.56,9489,9108,1248763809,1231085711,,,50,49.28,71661,8229,11091,8262,75828,8329,11387,8426,72519,8515,11139,8501,71541,8894,10803,8740,9355,1.037,1.055,0.968,1.006,1.034,1.043,0.984,1.026,1.048,1.048,0.984,1.026,1.046,1.073,0.964,1.039,1028,22594,4896,97601,131600,1080,21966,4713,103841,27393,57698,34561,15803,76575,58880,120419,9615,1289,440,232,3460,2957,2677,67,162,75,173,542,1,2342,2714,103,463,286,314,295,2,8,9,13,9,6,170,772,55,752,226,700,226,8287,3503,3688,884,213,0,20,10,0,31,1309,3846,636,4,1,1/1/13,1,0
A75525,2015,"Accountable Care Coalition of Western Georgia, LLC","Alabama, Georgia",0,6642,0.0353,0.0347,2331543,2331543,1080990,94.62,10213,9801,66037527,63705985,,,50,47.31,64998,8428,10796,8157,69976,8390,10911,8498,63372,8785,8953,8531,65902,9062,10780,8363,9853,0.947,1.22,1.054,1.079,0.975,1.226,1.016,1.094,0.954,1.184,0.998,1.098,0.952,1.049,1.003,1.108,159,1047,202,5739,6466,149,951,173,5194,1261,2768,1891,722,4079,2563,4356,2113,67,*,*,77,2693,2117,68,482,36,308,170,4,3068,2836,125,530,310,282,245,3,28,6,11,5,9,157,761,24,666,180,674,330,11812,4964,5747,1095,6,0,0,0,0,0,33,27,24,0,0,1/1/13,1,0
A33458,2015,Medicare Value Partners,Illinois,0,35836,0.0027,0.0234,1214908,0,0,90.56,12852,12556,445561588,444346679,,,50,45.28,94273,10273,18271,11622,96490,10452,18916,11600,94481,10343,17250,11354,92935,10746,17219,11946,12817,1.071,1.157,1.102,1.127,1.072,1.139,1.095,1.118,1.069,1.133,1.114,1.13,1.032,1.106,1.088,1.136,382,5056,2057,29302,34669,344,4021,1353,28950,5190,14031,10326,6289,20768,15068,30230,3062,489,1019,12,1024,4104,3542,106,467,56,335,1776,0,2292,3522,176,920,216,429,393,2,26,7,18,15,10,194,806,135,752,313,742,276,10677,4561,4918,1190,8,0,5,0,0,32,339,453,77,2,3,1/1/13,1,0
A51314,2015,"Healthcare Provider ACO, Inc.",New York,0,24442,0.0244,0.0246,8328015,0,0,72.23,14437,14527,341644963,333316949,,,50,36.12,104922,11902,15682,13405,101607,11864,14811,12714,101026,12082,14564,12963,99573,12072,14672,12611,14085,1.099,1.2,1.238,1.277,1.114,1.179,1.186,1.257,1.094,1.186,1.174,1.25,1.07,1.149,1.138,1.217,370,4209,4837,15412,23664,328,3652,4065,15619,4469,9769,6467,3737,14294,10148,16594,4773,765,859,43,1408,4598,4121,45,221,236,182,1962,0,1808,5220,218,618,220,393,368,2,10,14,18,10,7,212,826,119,689,317,764,382,13755,6455,6502,771,27,0,13,0,0,0,241,182,63,0,0,7/1/12,1,0
A07663,2015,Aurora Accountable Care Organization LLC,Wisconsin,0,7424,0.0696,0.0332,5553892,5553892,2593841,95.31,11053,10603,79810143,74256251,,,50,47.66,77519,8501,12574,9693,73767,8813,13591,10034,82001,9246,15064,9991,76494,9494,13109,9594,10284,1.036,1.051,1.092,1.176,1.077,1.071,1.09,1.178,1.016,1.086,1.055,1.176,1.103,1.052,1.016,1.171,56,1145,375,6868,7221,60,1217,313,5631,1481,2745,1984,1214,4518,2906,6907,150,47,134,25,161,3549,3167,164,220,41,223,948,0,2174,2844,122,476,240,411,385,3,14,8,15,12,14,181,785,86,817,316,768,214,8451,4021,3589,837,4,0,0,0,0,0,70,68,27,2,0,7/1/12,1,0
A88215,2015,Golden Life Accountable Care Organization (ACO),California,1,6986,0.0289,0.034,2194753,0,0,85.72,11247,10770,76057043,73862290,1839667,0,50,42.86,79387,5936,9392,11033,82476,6830,9324,10435,90426,6974,8664,11239,81177,9298,8880,10774,10922,1.026,1.038,0.936,1.177,0.946,0.966,0.954,1.117,1.008,0.967,0.926,1.13,1.02,0.958,0.923,1.159,71,1117,1206,3371,6763,90,1348,1748,3576,1615,2528,1756,1087,3854,3132,4657,440,1168,174,33,514,3892,3700,33,71,114,281,1373,0,1833,3013,122,625,203,293,278,0,3,12,16,8,9,163,819,89,741,233,690,218,10385,6794,3138,418,34,0,0,0,0,0,30,6,9,0,0,7/1/12,1,0
A12881,2015,"Accountable Care Organization of New England, LLC",Massachusetts,0,5914,0.143,0.0363,8937695,8937695,3556951,81.22,10836,11687,62491437,53553742,,,50,40.61,97899,9894,14233,10785,86367,9203,13184,10856,104209,10073,13741,11306,88481,9389,11303,8665,9286,1.105,1.141,1.115,1.166,1.053,1.162,1.119,1.165,1.099,1.098,1.121,1.173,1.068,1.061,1.025,1.052,76,2287,1263,8001,5767,21,1060,446,4241,1233,2273,1438,970,3377,2537,5560,95,*,80,*,147,3064,2456,45,370,197,114,669,0,2129,2522,186,659,184,295,252,2,20,23,11,13,8,141,825,68,801,196,634,225,9628,4171,4193,1260,3,0,0,0,0,6,69,59,37,1,4,1/1/13,1,0
A04598,2015,"Accountable Care Coalition of Maryland, LLC.",Maryland,0,3420,-0.0631,0.0477,-2119753,0,0,93.34,10137,9887,33582641,35702394,,,50,46.67,75508,10460,13005,8905,78065,9816,13413,8581,73766,10186,11509,8792,81662,9754,12691,9740,10777,1.027,1.185,1.068,1.057,1.001,1.149,1.045,1.018,1.02,1.149,1.043,1.019,1.011,1.15,1.024,1.011,121,1200,556,8979,3313,42,391,141,2739,493,1774,862,291,1862,1558,2226,1027,68,*,*,86,3904,3792,0,112,*,152,487,0,2178,3811,107,277,295,294,286,0,*,*,16,14,9,181,754,53,754,224,839,298,10444,4080,5489,870,5,0,0,0,0,0,47,46,11,1,0,7/1/12,1,0
A21965,2015,Asian American Accountable Care Organization,New York,0,12367,0.0462,0.0286,5200145,5200145,2318962,91.01,9328,8658,112622336,107422191,,,50,45.5,73679,8711,7400,6948,73607,8514,7641,7684,72058,7637,8331,8231,75128,8825,8341,7798,8897,1.004,1.128,0.85,1.034,0.997,1.112,0.84,1.055,0.993,1.076,0.851,1.043,0.999,1.066,0.876,1.017,124,877,8299,3980,12074,129,763,7001,4180,1099,4696,4284,2288,7558,4809,1370,425,7991,*,*,2421,2320,2200,7,56,60,197,738,0,1156,4065,88,360,179,195,188,0,3,3,7,5,5,180,843,43,316,161,495,302,13038,6849,5624,205,360,0,3,0,0,0,91,190,1,0,0,7/1/12,1,0
A03682,2015,Physicians ACO,Texas,1,6361,0.1301,0.0353,15795941,15795941,6991847,90.33,19790,19553,121455872,105659932,0,0,50,45.17,120077,16180,18662,16261,112674,17450,18995,16324,109756,17673,18610,15710,89376,14145,16707,14955,17217,1.09,1.32,1.056,1.196,1.056,1.358,1.082,1.234,1.069,1.35,1.089,1.231,1.054,1.278,1.074,1.215,158,1515,1170,3293,6137,181,1399,877,3680,1715,2627,1383,636,3677,2683,3544,1739,218,682,*,*,6179,3966,1298,850,256,484,1602,23,2438,4578,335,2303,336,538,426,38,46,25,21,15,10,209,729,115,1025,352,1039,424,11231,5542,4639,1034,16,0,0,0,0,0,46,7,15,0,0,7/1/12,1,0
A45848,2015,ApolloMed Accountable Care Organization Inc.,"California, Mississippi",0,21766,-0.0375,0.0248,-11031666,0,0,90.86,13957,13191,294333624,305365290,,,50,45.43,99729,11986,13461,9447,104985,13947,13716,10166,112877,14010,13115,9884,96738,15385,15637,11050,14480,1.057,1.32,1.008,1.029,1.055,1.323,1.029,1.033,1.079,1.331,1.022,1.025,1.046,1.299,1.06,1.068,429,3420,8554,14496,21089,395,2652,5890,12153,3452,8736,6508,3070,12679,9087,13458,2209,3547,1194,18,1340,4734,3926,597,229,150,305,2042,0,2048,4296,257,1419,311,417,375,15,10,16,16,14,15,199,750,115,732,274,838,312,11835,5094,5308,1388,45,0,4,1,0,6,176,281,48,6,0,7/1/12,1,0
A74604,2015,TP-ACO L.L.C.,"Louisiana, Mississippi, Tennessee",0,12574,0.0288,0.0285,3900047,3900047,1662988,87.02,11111,10673,135214534,131314487,,,50,43.51,70998,9480,16298,9077,64860,9221,15094,9629,70567,9889,16871,8758,69650,11536,17063,8774,10791,0.997,1.096,1.067,1.028,0.992,1.072,1.039,1.042,0.981,1.073,1.02,1.034,1.005,1.186,1.157,1.05,155,2239,1042,8330,12169,175,2206,941,8847,2748,5517,2942,1367,7204,5370,9242,3020,88,35,17,172,3348,2395,484,223,274,271,1055,0,1898,3174,182,926,308,364,307,15,12,30,13,11,10,168,755,96,807,222,791,289,10185,4648,4279,1215,43,0,0,1,0,1,71,80,87,0,0,7/1/12,1,0
A97609,2015,"Franciscan AHN ACO, LLC",Indiana,0,31622,-0.0428,0.0238,-12052527,0,0,97.64,9179,8498,281396108,293448635,,,50,48.82,68665,7602,13323,7611,67324,7998,13542,7723,71852,8104,15212,8090,77102,9136,16121,8787,9572,1.036,1.079,1.054,0.973,1.016,1.09,1.066,0.967,1.005,1.073,1.088,0.975,1.007,1.12,1.17,1.007,134,3146,600,23614,30656,198,3262,1281,25915,4442,14655,8706,3819,18439,13183,30093,929,87,36,13,464,2962,2568,106,228,94,268,1107,0,1949,2800,117,347,287,307,281,3,13,10,11,10,9,158,828,92,614,186,755,291,9058,3980,3799,1266,13,0,0,1,0,2,105,80,60,0,0,7/1/12,1,0
A81218,2015,Reliance Health Network,Florida,1,5509,0.0722,0.0375,5315391,5315391,2345345,90.05,13805,13339,73636231,68320841,0,0,50,45.02,75862,10855,16104,10990,75060,11365,16732,11398,80732,11059,16068,12010,79574,12174,15864,11080,12808,1.057,1.239,1.163,1.138,1.01,1.312,1.157,1.183,1.006,1.265,1.126,1.221,1.12,1.229,1.161,1.225,89,1357,754,3904,5334,78,1208,537,3511,1406,2115,1298,690,3283,2226,3647,1680,57,*,*,82,3950,3238,206,428,120,321,1208,0,1907,4268,176,933,394,468,418,6,25,19,18,19,7,194,781,105,1023,346,919,362,11608,5594,5018,888,109,0,0,3,0,3,29,1,10,0,0,7/1/12,1,0
A00755,2015,Balance ACO,"New Jersey, New York",0,8597,-0.1575,0.0314,-25602350,0,0,78.24,19859,16492,162589552,188191902,,,50,39.12,92497,11295,11168,12799,95263,10741,11493,15011,113283,12194,13152,17275,122436,16674,15696,20998,22986,1.087,1.146,0.984,1.316,1.046,1.149,0.966,1.374,1.085,1.171,1.01,1.439,1.148,1.323,1.101,1.562,231,2080,3133,3055,8187,367,1769,2503,3548,2206,2855,2165,1371,5057,3540,3282,2821,154,1760,18,562,8753,7712,184,235,690,371,5310,0,3200,5518,458,786,287,676,620,6,10,39,27,17,11,268,776,269,1144,561,867,300,17503,9161,5696,2451,196,0,11,0,0,2,265,565,88,1,0,7/1/12,1,0
A23779,2015,SEMAC,Michigan,0,12309,-0.0204,0.0286,-3051903,0,0,63.35,12686,12606,149915110,152967013,,,50,31.67,102215,10134,15976,12109,98215,10293,15138,11015,90976,10563,16468,11236,92562,10778,16126,11988,12944,1.109,1.2,1.119,1.293,1.137,1.203,1.112,1.274,1.108,1.221,1.146,1.252,1.102,1.152,1.141,1.239,174,3124,988,8902,11818,147,2970,731,7969,3544,4703,2761,1301,6602,5707,9507,2057,217,71,15,442,4681,3992,371,256,192,197,1436,4,2147,3824,202,787,229,528,478,11,15,23,20,27,13,239,777,133,986,410,875,253,11593,6441,4389,756,7,0,0,0,0,0,102,138,20,1,0,7/1/12,1,0
A83851,2015,Meridian Health Systems ACO Corporation,"California, District of Columbia, Florida, Georgia, Louisiana, North Carolina, South Carolina, Tennessee, Texas",0,8759,0.0016,0.0312,221428,0,0,79.26,16788,15796,140936874,140715446,,,50,39.63,92812,11732,18025,13903,98693,11490,17560,13450,100659,12231,17207,12808,99677,13041,20084,13716,16762,1.078,1.265,1.124,1.314,1.051,1.275,1.083,1.329,1.067,1.303,1.122,1.313,1.105,1.281,1.223,1.321,174,2822,2262,3413,8395,167,2701,2055,3473,3100,2832,1835,992,4924,3835,3918,3596,*,991,*,185,5633,4667,507,282,309,622,2378,0,1946,4351,357,1882,432,593,524,13,14,42,24,28,14,238,749,178,1332,449,933,314,12805,6230,4626,1882,67,0,0,0,0,0,70,82,17,0,0,7/1/12,1,0
A60499,2015,Arizona Care Network,Arizona,0,29380,-0.0162,0.0241,-6125069,0,0,96.25,13309,12864,377698575,383823644,,,50,48.13,111070,11417,19411,12588,96790,11116,15248,11915,89109,11661,14778,12434,84452,12090,16300,12934,13525,1.102,1.121,1.087,1.073,1.082,1.106,1.037,1.06,1.092,1.121,0.957,1.067,1.05,1.17,1.01,1.077,159,2672,503,18429,28379,239,2904,638,24598,4225,15057,7000,3098,16742,12638,26049,1276,406,629,147,873,4695,3942,275,479,103,390,1470,0,1649,4883,122,638,280,403,363,6,24,10,10,6,8,179,817,130,785,264,1117,436,12734,5255,5845,1589,45,0,6,0,0,7,811,768,191,2,0,1/1/13,1,0
A36859,2015,"Baroma Healthcare International, LLC",Florida,1,6091,0.119,0.0358,15409831,15409831,5194226,68.79,22071,21026,129444197,114034366,620550,620550,50,34.4,101005,17944,23652,18034,89115,16041,22446,16641,89310,17205,21525,18424,86738,14106,20665,15069,19443,1.07,1.499,1.306,1.338,1.115,1.482,1.271,1.354,1.06,1.369,1.235,1.383,1.087,1.297,1.258,1.339,132,1116,4433,2098,5865,145,906,2880,1934,1132,2165,1708,1086,3833,2258,3023,476,*,2365,*,196,5624,4554,331,729,73,1063,1781,0,2035,5142,245,3876,306,587,530,10,35,10,23,24,14,231,761,145,1078,494,1058,364,12631,5764,6160,610,97,0,0,0,0,1,70,85,21,0,0,1/1/13,1,0
A85560,2015,"Yavapai Accountable Care, LLC","Arizona, Texas",0,12327,-0.0339,0.0286,-4014040,0,0,89.28,9854,9977,118291870,122305910,,,50,44.64,83646,10644,14470,8447,77177,9805,13596,8587,82522,10644,12893,8468,89004,11560,17675,8778,10189,0.999,1.154,0.975,1.027,1.021,1.154,0.959,1.023,1.034,1.109,0.937,1.02,1.034,1.167,1.124,0.979,144,1196,639,8443,12004,136,981,373,10515,1463,6013,3504,1347,7005,5322,10569,1111,158,211,24,254,3334,2486,392,493,58,186,438,0,1535,3757,160,858,309,282,241,10,25,6,7,8,7,169,711,41,596,175,651,293,9428,3932,4649,834,13,0,2,0,0,0,56,27,20,0,0,1/1/13,1,0
A30070,2015,"Colorado Accountable Care, LLC",Colorado,0,20927,-0.0105,0.0249,-1839603,0,0,97.58,8618,8316,175055269,176894872,,,50,48.79,76532,7887,11221,7917,68603,8178,12920,7618,64630,8242,9431,7663,62844,9636,9494,8111,8709,1.06,1.04,1.028,0.942,1.041,1.077,1.041,0.948,0.962,1.05,1.004,0.956,0.985,1.043,0.989,0.949,136,2198,223,12810,20313,159,2006,288,17860,3063,11046,4860,1958,11548,9379,19445,377,131,281,73,620,2600,2311,58,207,40,142,298,0,1834,3195,65,391,323,236,217,2,12,5,7,4,5,109,743,35,605,138,680,315,8429,3503,3920,977,29,0,0,0,0,29,298,376,126,3,7,1/1/13,1,0
A73700,2015,Doctors Connected,Virginia,0,49933,0.0178,0.022,7682692,0,0,84.22,8903,8499,431666538,423983846,,,50,42.11,76280,7142,11713,7474,76152,7304,12510,7850,76319,7583,12946,7901,77419,8211,13014,8026,8744,1.013,1.035,1.051,0.975,1.031,1.051,1.036,0.976,1.055,1.071,1.065,0.984,1.04,1.043,1.076,0.981,289,7969,2666,37241,48487,364,6717,1672,39734,8497,22254,13328,5854,28748,21185,45856,3203,124,47,18,685,2705,2538,43,89,50,137,947,0,1831,2507,164,439,291,301,286,1,5,9,13,6,7,168,819,91,718,211,615,188,8787,4230,3479,1063,14,0,0,0,0,5,372,635,181,12,4,1/1/13,1,0
